Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,26,2006,4,371,41.36,28.96,3.77,8.45,82.53,76,51,8,322,1033,2
Super Mario Bros.,13,1985,5,371,29.08,3.58,6.81,0.77,40.24,,,,,,
Mario Kart Wii,26,2008,10,371,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,1033,2
Wii Sports Resort,26,2009,4,371,15.61,10.93,3.28,2.95,32.77,80,73,8,192,1033,2
Pokemon Red/Pokemon Blue,7,1996,8,371,11.27,8.89,10.22,1,31.37,,,,,,
Tetris,7,1989,6,371,23.2,2.26,4.22,0.58,30.26,,,,,,
New Super Mario Bros.,18,2006,5,371,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,1033,2
Wii Play,26,2006,7,371,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,1033,2
New Super Mario Bros. Wii,26,2009,5,371,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,1033,2
Duck Hunt,13,1984,9,371,26.93,0.63,0.28,0.47,28.31,,,,,,
Nintendogs,18,2005,11,371,9.05,10.95,1.93,2.74,24.67,,,,,,
Mario Kart DS,18,2005,10,371,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,1033,2
Pokemon Gold/Pokemon Silver,7,1999,8,371,9,6.18,7.2,0.71,23.1,,,,,,
Wii Fit,26,2007,4,371,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,1033,2
Kinect Adventures!,29,2010,7,330,15,4.89,0.24,1.69,21.81,61,45,6.3,106,619,2
Wii Fit Plus,26,2009,4,371,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,1033,2
Grand Theft Auto V,19,2013,1,502,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,1237,6
Grand Theft Auto: San Andreas,6,2004,1,502,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,1237,6
Super Mario World,24,1990,5,371,12.78,3.75,3.54,0.55,20.61,,,,,,
Brain Age: Train Your Brain in Minutes a Day,18,2005,7,371,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,1033,2
Pokemon Diamond/Pokemon Pearl,18,2006,8,371,6.38,4.46,6.04,1.36,18.25,,,,,,
Super Mario Land,7,1989,5,371,10.83,2.71,4.18,0.42,18.14,,,,,,
Super Mario Bros. 3,13,1988,5,371,9.54,3.44,3.84,0.46,17.28,,,,,,
Grand Theft Auto V,29,2013,1,502,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,1237,6
Grand Theft Auto: Vice City,6,2002,1,502,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,1237,6
Pokemon Ruby/Pokemon Sapphire,8,2002,8,371,6.06,3.9,5.38,0.5,15.85,,,,,,
Brain Age 2: More Training in Minutes a Day,18,2005,6,371,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,1033,2
Pokemon Black/Pokemon White,18,2010,8,371,5.51,3.17,5.65,0.8,15.14,,,,,,
Gran Turismo 3: A-Spec,6,2001,10,467,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,1145,2
Call of Duty: Modern Warfare 3,29,2011,9,17,9.04,4.24,0.13,1.32,14.73,88,81,3.4,8713,733,6
Pokémon Yellow: Special Pikachu Edition,7,1998,8,371,5.89,5.04,3.12,0.59,14.64,,,,,,
Call of Duty: Black Ops 3,20,2015,9,17,6.03,5.86,0.36,2.38,14.63,,,,,,
Call of Duty: Black Ops,29,2010,9,17,9.7,3.68,0.11,1.13,14.61,87,89,6.3,1454,1530,6
Pokemon X/Pokemon Y,4,2013,8,371,5.28,4.19,4.35,0.78,14.6,,,,,,
Call of Duty: Black Ops II,19,2012,9,17,4.99,5.73,0.65,2.42,13.79,83,21,5.3,922,1530,6
Call of Duty: Black Ops II,29,2012,9,17,8.25,4.24,0.07,1.12,13.67,83,73,4.8,2256,1530,6
Call of Duty: Modern Warfare 2,29,2009,9,17,8.52,3.59,0.08,1.28,13.47,94,100,6.3,2698,732,6
Call of Duty: Modern Warfare 3,19,2011,9,17,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5234,733,6
Grand Theft Auto III,6,2001,1,502,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,409,6
Super Smash Bros. Brawl,26,2008,3,371,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,576,8
Mario Kart 7,4,2011,10,371,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,1227,2
Call of Duty: Black Ops,19,2010,9,17,5.99,4.37,0.48,1.79,12.63,88,58,6.4,1094,1530,6
Grand Theft Auto V,20,2014,1,502,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,1237,6
Animal Crossing: Wild World,18,2005,11,371,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,1033,2
Halo 3,29,2007,9,330,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4100,259,6
Super Mario 64,12,1996,5,371,6.91,2.85,1.91,0.23,11.89,,,,,,
Pokemon HeartGold/Pokemon SoulSilver,18,2009,1,371,4.34,2.71,3.96,0.76,11.77,,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,4,2014,8,371,4.35,3.49,3.1,0.74,11.68,,,,,,
Gran Turismo 4,6,2004,10,467,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,1145,2
Super Mario Galaxy,26,2007,5,371,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,1033,2
Super Mario Land 2: 6 Golden Coins,7,1992,2,371,6.16,2.04,2.69,0.29,11.18,,,,,,
Grand Theft Auto IV,29,2008,1,502,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,1237,6
Gran Turismo,17,1997,10,467,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,1145,2
Super Mario 3D Land,4,2011,5,371,4.89,3,2.14,0.78,10.81,90,82,8.4,921,1033,2
Gran Turismo 5,19,2010,10,467,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,1145,2
Call of Duty: Modern Warfare 2,19,2009,9,17,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2073,732,6
Super Mario All-Stars,24,1993,5,371,5.99,2.15,2.12,0.29,10.55,,,,,,
Grand Theft Auto IV,19,2008,1,502,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,1237,6
Pokemon FireRed/Pokemon LeafGreen,8,2004,8,371,4.34,2.65,3.15,0.35,10.49,,,,,,
